1900-01-01 17:47:36,357 - INFO - args: Namespace(batch_size=500, clst=0.0001, cnt=1, dataset_name='ogbg-molhiv', info=0.001, log_file='gder_ogbg_bs500_pna_0.7_r.log', lr=0.0005, max_epochs=600, mlp_out_dim=1, model_name='pna', protnce_lambda=0.001, pruning_epochs=10, retain_ratio=0.7, sep=0.3, weight_decay=3e-06)
1900-01-01 17:47:36,357 - INFO - start_time: 1743241656.3574984
1900-01-01 17:47:36,357 - INFO - Training..., Epoch: 0
1900-01-01 17:47:45,817 - INFO - Training..., Epoch: 1
1900-01-01 17:47:54,505 - INFO - Training..., Epoch: 2
1900-01-01 17:48:03,179 - INFO - Training..., Epoch: 3
1900-01-01 17:48:11,650 - INFO - Training..., Epoch: 4
1900-01-01 17:48:20,200 - INFO - Training..., Epoch: 5
1900-01-01 17:48:28,789 - INFO - Training..., Epoch: 6
1900-01-01 17:48:37,400 - INFO - Training..., Epoch: 7
1900-01-01 17:48:45,991 - INFO - Training..., Epoch: 8
1900-01-01 17:48:54,500 - INFO - Training..., Epoch: 9
1900-01-01 17:49:03,340 - INFO - Training..., Epoch: 10
1900-01-01 17:49:11,992 - INFO - Training..., Epoch: 11
1900-01-01 17:49:18,165 - INFO - Training..., Epoch: 12
1900-01-01 17:49:24,492 - INFO - Training..., Epoch: 13
1900-01-01 17:49:30,631 - INFO - Training..., Epoch: 14
1900-01-01 17:49:37,053 - INFO - Training..., Epoch: 15
1900-01-01 17:49:43,091 - INFO - Training..., Epoch: 16
1900-01-01 17:49:49,470 - INFO - Training..., Epoch: 17
1900-01-01 17:49:55,516 - INFO - Training..., Epoch: 18
1900-01-01 17:50:05,456 - INFO - Training..., Epoch: 19
1900-01-01 17:50:14,727 - INFO - Training..., Epoch: 20
1900-01-01 17:50:24,209 - INFO - Training..., Epoch: 21
1900-01-01 17:50:34,325 - INFO - Training..., Epoch: 22
1900-01-01 17:50:44,704 - INFO - Training..., Epoch: 23
1900-01-01 17:50:54,400 - INFO - Training..., Epoch: 24
1900-01-01 17:51:03,883 - INFO - Training..., Epoch: 25
1900-01-01 17:51:14,500 - INFO - Training..., Epoch: 26
1900-01-01 17:51:24,379 - INFO - Training..., Epoch: 27
1900-01-01 17:51:33,631 - INFO - Training..., Epoch: 28
1900-01-01 17:51:43,141 - INFO - Training..., Epoch: 29
1900-01-01 17:51:53,611 - INFO - Training..., Epoch: 30
1900-01-01 17:52:03,109 - INFO - Training..., Epoch: 31
1900-01-01 17:52:12,343 - INFO - Training..., Epoch: 32
1900-01-01 17:52:22,234 - INFO - Training..., Epoch: 33
1900-01-01 17:52:32,294 - INFO - Training..., Epoch: 34
1900-01-01 17:52:41,512 - INFO - Training..., Epoch: 35
1900-01-01 17:52:50,895 - INFO - Training..., Epoch: 36
1900-01-01 17:53:01,128 - INFO - Training..., Epoch: 37
1900-01-01 17:53:11,174 - INFO - Training..., Epoch: 38
1900-01-01 17:53:20,634 - INFO - Training..., Epoch: 39
1900-01-01 17:53:30,278 - INFO - Training..., Epoch: 40
1900-01-01 17:53:40,874 - INFO - Training..., Epoch: 41
1900-01-01 17:53:50,474 - INFO - Training..., Epoch: 42
1900-01-01 17:54:00,051 - INFO - Training..., Epoch: 43
1900-01-01 17:54:09,800 - INFO - Training..., Epoch: 44
1900-01-01 17:54:20,261 - INFO - Training..., Epoch: 45
1900-01-01 17:54:29,647 - INFO - Training..., Epoch: 46
1900-01-01 17:54:39,167 - INFO - Training..., Epoch: 47
1900-01-01 17:54:49,093 - INFO - Training..., Epoch: 48
1900-01-01 17:54:59,267 - INFO - Training..., Epoch: 49
1900-01-01 17:55:08,599 - INFO - Training..., Epoch: 50
1900-01-01 17:55:18,408 - INFO - Training..., Epoch: 51
1900-01-01 17:55:28,966 - INFO - Training..., Epoch: 52
1900-01-01 17:55:39,464 - INFO - Training..., Epoch: 53
1900-01-01 17:55:49,096 - INFO - Training..., Epoch: 54
1900-01-01 17:55:58,490 - INFO - Training..., Epoch: 55
1900-01-01 17:56:08,713 - INFO - Training..., Epoch: 56
1900-01-01 17:56:18,082 - INFO - Training..., Epoch: 57
1900-01-01 17:56:27,405 - INFO - Training..., Epoch: 58
1900-01-01 17:56:37,204 - INFO - Training..., Epoch: 59
1900-01-01 17:56:47,516 - INFO - Training..., Epoch: 60
1900-01-01 17:56:56,752 - INFO - Training..., Epoch: 61
1900-01-01 17:57:06,168 - INFO - Training..., Epoch: 62
1900-01-01 17:57:16,548 - INFO - Training..., Epoch: 63
1900-01-01 17:57:27,091 - INFO - Training..., Epoch: 64
1900-01-01 17:57:36,574 - INFO - Training..., Epoch: 65
1900-01-01 17:57:46,413 - INFO - Training..., Epoch: 66
1900-01-01 17:57:56,859 - INFO - Training..., Epoch: 67
1900-01-01 17:58:06,195 - INFO - Training..., Epoch: 68
1900-01-01 17:58:15,400 - INFO - Training..., Epoch: 69
1900-01-01 17:58:25,277 - INFO - Training..., Epoch: 70
1900-01-01 17:58:35,590 - INFO - Training..., Epoch: 71
1900-01-01 17:58:44,934 - INFO - Training..., Epoch: 72
1900-01-01 17:58:54,570 - INFO - Training..., Epoch: 73
1900-01-01 17:59:04,884 - INFO - Training..., Epoch: 74
1900-01-01 17:59:15,261 - INFO - Training..., Epoch: 75
1900-01-01 17:59:24,590 - INFO - Training..., Epoch: 76
1900-01-01 17:59:34,323 - INFO - Training..., Epoch: 77
1900-01-01 17:59:44,685 - INFO - Training..., Epoch: 78
1900-01-01 17:59:54,480 - INFO - Training..., Epoch: 79
1900-01-01 18:00:03,561 - INFO - Training..., Epoch: 80
1900-01-01 18:00:13,198 - INFO - Training..., Epoch: 81
1900-01-01 18:00:23,610 - INFO - Training..., Epoch: 82
1900-01-01 18:00:32,961 - INFO - Training..., Epoch: 83
1900-01-01 18:00:42,416 - INFO - Training..., Epoch: 84
1900-01-01 18:00:52,552 - INFO - Training..., Epoch: 85
1900-01-01 18:01:03,295 - INFO - Training..., Epoch: 86
1900-01-01 18:01:13,060 - INFO - Training..., Epoch: 87
1900-01-01 18:01:22,688 - INFO - Training..., Epoch: 88
1900-01-01 18:01:33,018 - INFO - Training..., Epoch: 89
1900-01-01 18:01:43,223 - INFO - Training..., Epoch: 90
1900-01-01 18:01:52,305 - INFO - Training..., Epoch: 91
1900-01-01 18:02:01,768 - INFO - Training..., Epoch: 92
1900-01-01 18:02:11,756 - INFO - Training..., Epoch: 93
1900-01-01 18:02:21,817 - INFO - Training..., Epoch: 94
1900-01-01 18:02:31,124 - INFO - Training..., Epoch: 95
1900-01-01 18:02:40,935 - INFO - Training..., Epoch: 96
1900-01-01 18:02:51,574 - INFO - Training..., Epoch: 97
1900-01-01 18:03:01,434 - INFO - Training..., Epoch: 98
1900-01-01 18:03:10,668 - INFO - Training..., Epoch: 99
1900-01-01 18:03:20,523 - INFO - Training..., Epoch: 100
1900-01-01 18:03:30,908 - INFO - Training..., Epoch: 101
1900-01-01 18:03:40,273 - INFO - Training..., Epoch: 102
1900-01-01 18:03:50,023 - INFO - Training..., Epoch: 103
